,Image,Dice_reg,K,Model
81,103416378058309979932405295235813040436_1g2pmw.png,0.8340416224669459,5,pretrained_frozen
82,103416378058309979932405295235813040436_1g2pmw.png,0.8429692161499194,5,pretrained_finetune_from_0_with_KL
83,103416378058309979932405295235813040436_1g2pmw.png,0.8412326666778993,5,pretrained_finetune_from_0_no_KL
84,103416378058309979932405295235813040436_1g2pmw.png,0.8361655540223893,7,pretrained_frozen
85,103416378058309979932405295235813040436_1g2pmw.png,0.8509876552038119,7,pretrained_finetune_from_0_with_KL
86,103416378058309979932405295235813040436_1g2pmw.png,0.8523646817851993,7,pretrained_finetune_from_0_no_KL
87,103416378058309979932405295235813040436_1g2pmw.png,0.8361655540223893,9,pretrained_frozen
88,103416378058309979932405295235813040436_1g2pmw.png,0.8509876552038119,9,pretrained_finetune_from_0_with_KL
89,103416378058309979932405295235813040436_1g2pmw.png,0.8523646817851993,9,pretrained_finetune_from_0_no_KL
90,278147989796380509519073707235611243961_lgo9hx.png,0.8640674434830338,1,pretrained_frozen
91,278147989796380509519073707235611243961_lgo9hx.png,0.8611256957858578,1,pretrained_finetune_from_0_with_KL
92,278147989796380509519073707235611243961_lgo9hx.png,0.8762163783010526,1,pretrained_finetune_from_0_no_KL
93,278147989796380509519073707235611243961_lgo9hx.png,0.8938191529950401,3,pretrained_frozen
94,278147989796380509519073707235611243961_lgo9hx.png,0.8856320132849629,3,pretrained_finetune_from_0_with_KL
95,278147989796380509519073707235611243961_lgo9hx.png,0.8892841956059532,3,pretrained_finetune_from_0_no_KL
96,278147989796380509519073707235611243961_lgo9hx.png,0.8944598337950138,5,pretrained_frozen
97,278147989796380509519073707235611243961_lgo9hx.png,0.8910933109584764,5,pretrained_finetune_from_0_with_KL
98,278147989796380509519073707235611243961_lgo9hx.png,0.9001106634537537,5,pretrained_finetune_from_0_no_KL
99,278147989796380509519073707235611243961_lgo9hx.png,0.8944598337950138,7,pretrained_frozen
100,278147989796380509519073707235611243961_lgo9hx.png,0.8910933109584764,7,pretrained_finetune_from_0_with_KL
101,278147989796380509519073707235611243961_lgo9hx.png,0.9001106634537537,7,pretrained_finetune_from_0_no_KL
102,278147989796380509519073707235611243961_lgo9hx.png,0.8944598337950138,9,pretrained_frozen
103,278147989796380509519073707235611243961_lgo9hx.png,0.8910933109584764,9,pretrained_finetune_from_0_with_KL
104,278147989796380509519073707235611243961_lgo9hx.png,0.9001106634537537,9,pretrained_finetune_from_0_no_KL
105,245895219126534788779109786698958326807_1a9ait.png,0.867595924748337,1,pretrained_frozen
106,245895219126534788779109786698958326807_1a9ait.png,0.8602542120473005,1,pretrained_finetune_from_0_with_KL
107,245895219126534788779109786698958326807_1a9ait.png,0.8745765884690052,1,pretrained_finetune_from_0_no_KL
108,245895219126534788779109786698958326807_1a9ait.png,0.8834319216308933,3,pretrained_frozen
109,245895219126534788779109786698958326807_1a9ait.png,0.882240832906788,3,pretrained_finetune_from_0_with_KL
110,245895219126534788779109786698958326807_1a9ait.png,0.877075851960425,3,pretrained_finetune_from_0_no_KL
111,245895219126534788779109786698958326807_1a9ait.png,0.8834319216308933,5,pretrained_frozen
112,245895219126534788779109786698958326807_1a9ait.png,0.882240832906788,5,pretrained_finetune_from_0_with_KL
113,245895219126534788779109786698958326807_1a9ait.png,0.877075851960425,5,pretrained_finetune_from_0_no_KL
114,245895219126534788779109786698958326807_1a9ait.png,0.9086812730043795,7,pretrained_frozen
115,245895219126534788779109786698958326807_1a9ait.png,0.8924994022244864,7,pretrained_finetune_from_0_with_KL
116,245895219126534788779109786698958326807_1a9ait.png,0.9056026963270757,7,pretrained_finetune_from_0_no_KL
117,245895219126534788779109786698958326807_1a9ait.png,0.9086812730043795,9,pretrained_frozen
118,245895219126534788779109786698958326807_1a9ait.png,0.8924994022244864,9,pretrained_finetune_from_0_with_KL
119,245895219126534788779109786698958326807_1a9ait.png,0.9056026963270757,9,pretrained_finetune_from_0_no_KL
120,47513502650936350354964244779459913004-3_th1gik.png,0.9122450597403172,1,pretrained_frozen
121,47513502650936350354964244779459913004-3_th1gik.png,0.8934577840899585,1,pretrained_finetune_from_0_with_KL
122,47513502650936350354964244779459913004-3_th1gik.png,0.9065654475873116,1,pretrained_finetune_from_0_no_KL
123,47513502650936350354964244779459913004-3_th1gik.png,0.9122450597403172,3,pretrained_frozen
124,47513502650936350354964244779459913004-3_th1gik.png,0.8996196803988171,3,pretrained_finetune_from_0_with_KL
125,47513502650936350354964244779459913004-3_th1gik.png,0.9065654475873116,3,pretrained_finetune_from_0_no_KL
126,47513502650936350354964244779459913004-3_th1gik.png,0.9237475552880999,5,pretrained_frozen
127,47513502650936350354964244779459913004-3_th1gik.png,0.9098867507665651,5,pretrained_finetune_from_0_with_KL
128,47513502650936350354964244779459913004-3_th1gik.png,0.9223076357424471,5,pretrained_finetune_from_0_no_KL
129,47513502650936350354964244779459913004-3_th1gik.png,0.9237475552880999,7,pretrained_frozen
