,Image,Dice_reg,K,Model
184,282084762366059076387208905274707563447_d4ptrb.png,0.8920942871587462,3,affine no kl
185,282084762366059076387208905274707563447_d4ptrb.png,0.9014814660904256,3,affine frozen
186,282084762366059076387208905274707563447_d4ptrb.png,0.9072573527121184,5,affine with kl
187,282084762366059076387208905274707563447_d4ptrb.png,0.9021223311222797,5,affine no kl
188,282084762366059076387208905274707563447_d4ptrb.png,0.9014814660904256,5,affine frozen
189,282084762366059076387208905274707563447_d4ptrb.png,0.9072573527121184,7,affine with kl
190,282084762366059076387208905274707563447_d4ptrb.png,0.9021223311222797,7,affine no kl
191,282084762366059076387208905274707563447_d4ptrb.png,0.9014814660904256,7,affine frozen
192,282084762366059076387208905274707563447_d4ptrb.png,0.9072573527121184,9,affine with kl
193,282084762366059076387208905274707563447_d4ptrb.png,0.9021223311222797,9,affine no kl
194,282084762366059076387208905274707563447_d4ptrb.png,0.9014814660904256,9,affine frozen
195,64947154984935334365130497226051564059_piq56n.png,0.8312982677197884,1,affine with kl
196,64947154984935334365130497226051564059_piq56n.png,0.8028949481511712,1,affine no kl
197,64947154984935334365130497226051564059_piq56n.png,0.8316387328412028,1,affine frozen
198,64947154984935334365130497226051564059_piq56n.png,0.8312982677197884,3,affine with kl
199,64947154984935334365130497226051564059_piq56n.png,0.8029553879298222,3,affine no kl
200,64947154984935334365130497226051564059_piq56n.png,0.8316387328412028,3,affine frozen
201,64947154984935334365130497226051564059_piq56n.png,0.8312982677197884,5,affine with kl
202,64947154984935334365130497226051564059_piq56n.png,0.8029553879298222,5,affine no kl
203,64947154984935334365130497226051564059_piq56n.png,0.8316387328412028,5,affine frozen
204,64947154984935334365130497226051564059_piq56n.png,0.8332695506262972,7,affine with kl
205,64947154984935334365130497226051564059_piq56n.png,0.8229456254331914,7,affine no kl
206,64947154984935334365130497226051564059_piq56n.png,0.8400254279885279,7,affine frozen
207,64947154984935334365130497226051564059_piq56n.png,0.8332695506262972,9,affine with kl
208,64947154984935334365130497226051564059_piq56n.png,0.833722448126218,9,affine no kl
209,64947154984935334365130497226051564059_piq56n.png,0.8400254279885279,9,affine frozen
210,173480850478104643017119358503404014196_qey2vk.png,0.8428221052109331,1,affine with kl
211,173480850478104643017119358503404014196_qey2vk.png,0.8355734757260393,1,affine no kl
212,173480850478104643017119358503404014196_qey2vk.png,0.8417007089497144,1,affine frozen
213,173480850478104643017119358503404014196_qey2vk.png,0.8644634941442296,3,affine with kl
214,173480850478104643017119358503404014196_qey2vk.png,0.8515189169841081,3,affine no kl
215,173480850478104643017119358503404014196_qey2vk.png,0.8671104141388705,3,affine frozen
216,173480850478104643017119358503404014196_qey2vk.png,0.9015675195169822,5,affine with kl
217,173480850478104643017119358503404014196_qey2vk.png,0.8994560436728869,5,affine no kl
218,173480850478104643017119358503404014196_qey2vk.png,0.9013746078696564,5,affine frozen
219,173480850478104643017119358503404014196_qey2vk.png,0.9015675195169822,7,affine with kl
220,173480850478104643017119358503404014196_qey2vk.png,0.8994560436728869,7,affine no kl
221,173480850478104643017119358503404014196_qey2vk.png,0.9013746078696564,7,affine frozen
222,173480850478104643017119358503404014196_qey2vk.png,0.9015675195169822,9,affine with kl
223,173480850478104643017119358503404014196_qey2vk.png,0.8994560436728869,9,affine no kl
224,173480850478104643017119358503404014196_qey2vk.png,0.9013746078696564,9,affine frozen
225,117922406082772720514160287292487390144_3qnpe6.png,0.9105080634721645,1,affine with kl
226,117922406082772720514160287292487390144_3qnpe6.png,0.9020200823641723,1,affine no kl
227,117922406082772720514160287292487390144_3qnpe6.png,0.9089567130926834,1,affine frozen
228,117922406082772720514160287292487390144_3qnpe6.png,0.9105080634721645,3,affine with kl
229,117922406082772720514160287292487390144_3qnpe6.png,0.9055635842003381,3,affine no kl
230,117922406082772720514160287292487390144_3qnpe6.png,0.9089567130926834,3,affine frozen
231,117922406082772720514160287292487390144_3qnpe6.png,0.9105080634721645,5,affine with kl
232,117922406082772720514160287292487390144_3qnpe6.png,0.9055635842003381,5,affine no kl
233,117922406082772720514160287292487390144_3qnpe6.png,0.9089567130926834,5,affine frozen
234,117922406082772720514160287292487390144_3qnpe6.png,0.9105080634721645,7,affine with kl
235,117922406082772720514160287292487390144_3qnpe6.png,0.9055635842003381,7,affine no kl
236,117922406082772720514160287292487390144_3qnpe6.png,0.9089567130926834,7,affine frozen
237,117922406082772720514160287292487390144_3qnpe6.png,0.9105080634721645,9,affine with kl
238,117922406082772720514160287292487390144_3qnpe6.png,0.9055635842003381,9,affine no kl
239,117922406082772720514160287292487390144_3qnpe6.png,0.9089567130926834,9,affine frozen
240,112456448066531979951054695594530500685_wrc6wl.png,0.82489848606723,1,affine with kl
241,112456448066531979951054695594530500685_wrc6wl.png,0.8466350602941386,1,affine no kl
242,112456448066531979951054695594530500685_wrc6wl.png,0.858513998947934,1,affine frozen
243,112456448066531979951054695594530500685_wrc6wl.png,0.8315353210760735,3,affine with kl
244,112456448066531979951054695594530500685_wrc6wl.png,0.8605125878884101,3,affine no kl
245,112456448066531979951054695594530500685_wrc6wl.png,0.858513998947934,3,affine frozen
246,112456448066531979951054695594530500685_wrc6wl.png,0.8674041584958759,5,affine with kl
247,112456448066531979951054695594530500685_wrc6wl.png,0.8918722318904634,5,affine no kl
248,112456448066531979951054695594530500685_wrc6wl.png,0.8841547500143332,5,affine frozen
249,112456448066531979951054695594530500685_wrc6wl.png,0.8674041584958759,7,affine with kl
250,112456448066531979951054695594530500685_wrc6wl.png,0.8918722318904634,7,affine no kl
251,112456448066531979951054695594530500685_wrc6wl.png,0.8841547500143332,7,affine frozen
252,112456448066531979951054695594530500685_wrc6wl.png,0.8742653956628121,9,affine with kl
253,112456448066531979951054695594530500685_wrc6wl.png,0.8918722318904634,9,affine no kl
254,112456448066531979951054695594530500685_wrc6wl.png,0.8902859686213419,9,affine frozen
255,114041240061582113028394479929792704149_u7xmxu.png,0.8408780538534588,1,affine with kl
