,Dice_Real,Dice_RCA_Max,Dice_RCA_Mean,L_Dice_Real,L_Dice_RCA_Max,L_Dice_RCA_Mean,H_Dice_Real,H_Dice_RCA_Max,H_Dice_RCA_Mean
13,0.7747568942714458,0.7625347033513832,0.7183821639130453,0.9011831006769168,0.8648491569200439,0.8444779990702216,0.6483306878659748,0.6711134358424582,0.592286328755869
14,0.723971175164444,0.7197062251946329,0.6897890773272628,0.8404728253886676,0.8507510050294039,0.8145414973889619,0.6074695249402204,0.6160167534939539,0.5650366572655636
15,0.8138877508224238,0.7898569131544196,0.7446313539480004,0.8691769859321035,0.8551357750036893,0.8171268119946765,0.7585985157127442,0.7470635333349842,0.6721358959013243
16,0.8160429874897825,0.8006190145596328,0.7517311371861395,0.8874527425132411,0.8574882867945385,0.8394808317909673,0.7446332324663241,0.752956703507739,0.6639814425813114
17,0.83814311526846,0.8006174291475538,0.7381694334452772,0.8831798504525777,0.8473026218244567,0.8270537965658221,0.7931063800843423,0.7650506964620593,0.6492850703247321
18,0.8482926296451874,0.8230118223050574,0.7751550270845203,0.899151041488134,0.8653542716654462,0.8459708825132841,0.7974342178022408,0.7935338120176624,0.7043391716557565
19,0.8193177462889342,0.8114566641252012,0.7781510374980078,0.8887467683907943,0.8575059930914285,0.8424544357032013,0.7498887241870741,0.7733728239752979,0.7138476392928143
20,0.6518474451782545,0.6490252674306732,0.6231433010278182,0.769154832249785,0.7734645271046945,0.7292930266920161,0.5345400581067241,0.5547187835561732,0.5169935753636205
21,0.8362632722953771,0.8169530082969144,0.7789395504824499,0.8859276841114021,0.8584667134471659,0.8300604393214845,0.7865988604793521,0.780322146123053,0.7278186616434154
22,0.7641591400006504,0.739249623276765,0.7069391944386243,0.8282907308562677,0.8139591330067025,0.7812497543079713,0.7000275491450331,0.681305392057371,0.6326286345692772
23,0.8315730963459862,0.800223879115855,0.7571294612225152,0.9034273626026801,0.8603616508123064,0.8354084649516779,0.7597188300892923,0.7400861074194036,0.6788504574933526
24,0.796867485060321,0.7519584079100277,0.7245529501066466,0.840131808974652,0.8149223633797137,0.7949513325317166,0.7536031611459901,0.6942930419733523,0.6541545676815766
25,0.8155922371747111,0.7646141601945582,0.7284653638398648,0.8792526284467368,0.8345159769425958,0.8111103412469953,0.7519318459026852,0.6947123434465207,0.6458203864327344
26,0.8579125211684762,0.806403912774307,0.7813087564858596,0.8824007489480777,0.8436969128932107,0.8240352522024447,0.8334242933888747,0.7781921255096947,0.7385822607692747
27,0.7858325549609547,0.727996537638858,0.7044748001177374,0.8860098820706587,0.8457309521333422,0.8217439459241724,0.6856552278512508,0.6458784297665711,0.5872056543113026
28,0.8974056356729593,0.8423419192817966,0.8172008024490189,0.9171146617948757,0.8771514893325303,0.8529356841398126,0.8776966095510429,0.8290160812925362,0.7814659207582253
29,0.8849531516721503,0.8381145131212311,0.8101558346006238,0.9074433356671081,0.8719662158570939,0.8490689756412259,0.8624629676771925,0.8042628103853683,0.7712426935600217
30,0.6792117626179779,0.6740202929302685,0.6479484873285851,0.7218655250897678,0.7159547407565013,0.6880388992005849,0.6365580001461881,0.6320858451040359,0.6078580754565852
31,0.8623957187806004,0.8431620439430734,0.8232035768106357,0.9040828024553409,0.8709236183804959,0.8517698058517068,0.8207086351058598,0.8206700060685229,0.7946373477695647
32,0.8253834051301783,0.8102703618693399,0.7841111171632787,0.8220213991769547,0.7966367646623442,0.7737255071574382,0.8287454110834019,0.8239039590763356,0.7944967271691195
33,0.8923270089707864,0.8607356202834491,0.8305992146923196,0.9195486024485604,0.8671879816430053,0.8525261659588335,0.8651054154930123,0.8542832589238928,0.8086722634258054
34,0.8694321456703622,0.8465187021044585,0.8254397543147467,0.8882988145523913,0.8494744910875034,0.8312461803404618,0.8505654767883329,0.843592257689654,0.8196333282890317
35,0.9141179994043969,0.8724272307531038,0.8418146035187111,0.926958514518292,0.8609119797175008,0.8491388428718201,0.9012774842905016,0.8839424817887069,0.8344903641656016
36,0.9159558620117347,0.8580597682990334,0.841921360323051,0.9159735016679785,0.8670897933559687,0.8511108575772225,0.9159382223554909,0.8681639116329368,0.8327318630688794
37,0.9237735829427021,0.8546502087110557,0.8300529593517334,0.925742302814622,0.8631738644021658,0.8506400515479546,0.9218048630707821,0.871252057398521,0.8094658671555119
38,0.920886632301414,0.8819071621517839,0.8553578546818811,0.9389794507366516,0.8799053072928389,0.8649689283840807,0.9027938138661765,0.8929516605302498,0.8457467809796814
39,0.9006617750202377,0.8823909857967515,0.8400957135676956,0.9346481804634765,0.8668621798058124,0.8558479462400443,0.866675369576999,0.9041769826691158,0.8243434808953467
40,0.6789192815148197,0.6725677415306601,0.6571764725149667,0.8324611393219061,0.809284719668597,0.7905576849434619,0.5253774237077332,0.5455251279213351,0.5237952600864715
41,0.8263405206851329,0.8112867333077808,0.7884848725518453,0.9143281126032147,0.8925387921700775,0.8701967792363806,0.738352928767051,0.7438738484586126,0.7067729658673099
42,0.7378775003118645,0.743049300713031,0.7182003669085341,0.8798106214681375,0.857187537670106,0.8346543466944363,0.5959443791555916,0.6289110637559558,0.6017463871226318
43,0.7980928620491798,0.7927627909560249,0.7590829661398423,0.9280259079343048,0.8943638023303682,0.8733417159498297,0.668159816164055,0.6911617795816815,0.6448242163298548
44,0.8050327275770865,0.7915546459420701,0.7662306854736666,0.8810633135399313,0.8561594109786185,0.8400160730684728,0.7290021416142417,0.7321649716666041,0.6924452978788603
45,0.8081081817831315,0.7863149259010924,0.7592812441118941,0.9053067662662204,0.8708793299055355,0.8511621854519349,0.7109095973000426,0.7190258879498693,0.6674003027718532
